TF ID	TF name	Target ID	Target name
PA4101	BfmR	PA4104	PA4104
PA4101	BfmR	PA4105	PA4105
PA4101	BfmR	PA4106	PA4106
PA2588	CdpR	PA2587	pqsH
PA2588	CdpR	PA2588	CdpR
PA2588	CdpR	PA3834	valS
PA2588	CdpR	PA0159	PA0159
PA2588	CdpR	PA4541	PA4541
PA2588	CdpR	PA4807	selB
PA2588	CdpR	PA2612	serS
PA2588	CdpR	PA3992	PA3992
PA2588	CdpR	PA4210	phzA1
PA1713	ExsA	PA1714	exsD
PA1713	ExsA	PA1703	pcrD
PA1713	ExsA	PA3840	PA3840
PA1713	ExsA	PA1697	PA1697
PA1713	ExsA	PA1695	pscP
PA1713	ExsA	PA1694	pscQ
PA1713	ExsA	PA1693	pscR
PA1713	ExsA	PA1692	PA1692
PA1713	ExsA	PA1690	pscU
PA1713	ExsA	PA1705	pcrG
PA1713	ExsA	PA1706	pcrV
PA1713	ExsA	PA1707	pcrH
PA1713	ExsA	PA1708	popB
PA1713	ExsA	PA1709	popD
PA1713	ExsA	PA1710	exsC
PA1713	ExsA	PA1711	exsE
PA1713	ExsA	PA1712	exsB
PA1713	ExsA	PA1713	ExsA
PA1713	ExsA	PA2191	exoY
PA1713	ExsA	PA3842	spcS
PA1713	ExsA	PA3841	exoS
PA1713	ExsA	PA1557	ccoN2
PA1713	ExsA	PA0179	PA0179
PA1713	ExsA	PA3149	wbpH
PA1713	ExsA	PA3159	wbpA
PA1713	ExsA	PA2967	fabG
PA1713	ExsA	PA3843	PA3843
PA2586	GacA	PA0683	hxcY
PA2586	GacA	PA0684	hxcZ
PA2586	GacA	PA0686	hxcR
PA2586	GacA	PA0687	hxcS
PA2586	GacA	PA1287	PA1287
PA2586	GacA	PA1783	nasA
PA2586	GacA	PA2586	GacA
PA2586	GacA	PA2585	uvrC
PA2586	GacA	PA3071	PA3071
PA2586	GacA	PA3074	PA3074
PA2586	GacA	PA0028	PA0028
PA2586	GacA	PA0073	tagT1
PA2586	GacA	PA1712	exsB
PA2586	GacA	PA2538	PA2538
PA2586	GacA	PA1176	napF
PA2586	GacA	PA5512	mifS
PA2586	GacA	PA2588	CdpR
PA2586	GacA	PA3658	glnD
PA2586	GacA	PA0527.1	rsmY
PA2586	GacA	PA3621.1	rsmZ
PA1430	LasR	PA1003	MvfR
PA1430	LasR	PA1431	RsaL
PA1430	LasR	PA1432	lasI
PA1430	LasR	PA2591	VqsR
PA1430	LasR	PA3477	RhlR
PA1430	LasR	PA3479	rhlA
PA1430	LasR	PA3724	lasB
PA1430	LasR	PA3904	PA3904
PA1430	LasR	PA4677	PA4677
PA1430	LasR	PA0026	plcB
PA1430	LasR	PA0122	rahU
PA1430	LasR	PA0143	nuh
PA1430	LasR	PA0144	PA0144
PA1430	LasR	PA2592	PA2592
PA2492	MexT	PA1970	PA1970
PA2492	MexT	PA2492	MexT
PA2492	MexT	PA2491	mexS
PA2492	MexT	PA2493	mexE
PA2492	MexT	PA2494	mexF
PA2492	MexT	PA2495	oprN
PA2492	MexT	PA2813	PA2813
PA2492	MexT	PA3229	PA3229
PA2492	MexT	PA4354	PA4354
PA2492	MexT	PA4881	PA4881
